id,name,abvr,geo,order,y
ap:02:2015,AK-1,AK-1,Alaska At-Large,1,
ap:01:1005,AL-1,AL-1,Alabama 1,2,
ap:01:1374,AL-2,AL-2,Alabama 2,3,
ap:01:1375,AL-3,AL-3,Alabama 3,4,
ap:01:1011,AL-4,AL-4,Alabama 4,5,
ap:01:1376,AL-5,AL-5,Alabama 5,6,
ap:01:1377,AL-6,AL-6,Alabama 6,7,
ap:01:1378,AL-7,AL-7,Alabama 7,8,
ap:05:5104,AR-1,AR-1,Arkansas 1,9,
ap:05:5105,AR-2,AR-2,Arkansas 2,10,
ap:05:6092,AR-3,AR-3,Arkansas 3,11,
ap:05:5107,AR-4,AR-4,Arkansas 4,12,
ap:04:3004,AZ-1,AZ-1,Arizona 1,13,
ap:04:3006,AZ-2,AZ-2,Arizona 2,14,
ap:04:3008,AZ-3,AZ-3,Arizona 3,15,
ap:04:3010,AZ-4,AZ-4,Arizona 4,16,
ap:04:3012,AZ-5,AZ-5,Arizona 5,17,
ap:04:3544,AZ-6,AZ-6,Arizona 6,18,
ap:04:3920,AZ-7,AZ-7,Arizona 7,19,
ap:04:3924,AZ-8,AZ-8,Arizona 8,20,
ap:04:4173,AZ-9,AZ-9,Arizona 9,21,
ap:06:6478,CA-1,CA-1,California 1,22,
ap:06:5692,CA-2,CA-2,California 2,23,
ap:06:5693,CA-3,CA-3,California 3,24,
ap:06:5694,CA-4,CA-4,California 4,25,
ap:06:5695,CA-5,CA-5,California 5,26,
ap:06:5696,CA-6,CA-6,California 6,27,
ap:06:5697,CA-7,CA-7,California 7,28,
ap:06:5698,CA-8,CA-8,California 8,29,
ap:06:5699,CA-9,CA-9,California 9,30,
ap:06:8514,CA-10,CA-10,California 10,31,
ap:06:5701,CA-11,CA-11,California 11,32,
ap:06:5702,CA-12,CA-12,California 12,33,
ap:06:5703,CA-13,CA-13,California 13,34,
ap:06:5704,CA-14,CA-14,California 14,35,
ap:06:5705,CA-15,CA-15,California 15,36,
ap:06:5706,CA-16,CA-16,California 16,37,
ap:06:5707,CA-17,CA-17,California 17,38,
ap:06:5708,CA-18,CA-18,California 18,39,
ap:06:5709,CA-19,CA-19,California 19,40,
ap:06:5710,CA-20,CA-20,California 20,41,
ap:06:5711,CA-21,CA-21,California 21,42,
ap:06:5712,CA-22,CA-22,California 22,43,
ap:06:5713,CA-23,CA-23,California 23,44,
ap:06:5714,CA-24,CA-24,California 24,45,
ap:06:5715,CA-25,CA-25,California 25,46,
ap:06:5716,CA-26,CA-26,California 26,47,
ap:06:5717,CA-27,CA-27,California 27,48,
ap:06:5718,CA-28,CA-28,California 28,49,
ap:06:5719,CA-29,CA-29,California 29,50,
ap:06:5720,CA-30,CA-30,California 30,51,
ap:06:5721,CA-31,CA-31,California 31,52,
ap:06:5722,CA-32,CA-32,California 32,53,
ap:06:5723,CA-33,CA-33,California 33,54,
ap:06:8725,CA-34,CA-34,California 34,55,
ap:06:5725,CA-35,CA-35,California 35,56,
ap:06:5726,CA-36,CA-36,California 36,57,
ap:06:5727,CA-37,CA-37,California 37,58,
ap:06:5728,CA-38,CA-38,California 38,59,
ap:06:5729,CA-39,CA-39,California 39,60,
ap:06:5730,CA-40,CA-40,California 40,61,
ap:06:5731,CA-41,CA-41,California 41,62,
ap:06:5732,CA-42,CA-42,California 42,63,
ap:06:5733,CA-43,CA-43,California 43,64,
ap:06:5734,CA-44,CA-44,California 44,65,
ap:06:5735,CA-45,CA-45,California 45,66,
ap:06:5736,CA-46,CA-46,California 46,67,
ap:06:5739,CA-47,CA-47,California 47,68,
ap:06:8149,CA-48,CA-48,California 48,69,
ap:06:5741,CA-49,CA-49,California 49,70,
ap:06:5742,CA-50,CA-50,California 50,71,
ap:06:6235,CA-51,CA-51,California 51,72,
ap:06:7296,CA-52,CA-52,California 52,73,
ap:08:7191,CO-1,CO-1,Colorado 1,74,
ap:08:6614,CO-2,CO-2,Colorado 2,75,
ap:08:6615,CO-3,CO-3,Colorado 3,76,
ap:08:6616,CO-4,CO-4,Colorado 4,77,
ap:08:6617,CO-5,CO-5,Colorado 5,78,
ap:08:6618,CO-6,CO-6,Colorado 6,79,
ap:08:6954,CO-7,CO-7,Colorado 7,80,
ap:08:7727,CO-8,CO-8,Colorado 8,81,
ap:09:7007,CT-1,CT-1,Connecticut 1,82,
ap:09:7009,CT-2,CT-2,Connecticut 2,83,
ap:09:7011,CT-3,CT-3,Connecticut 3,84,
ap:09:7013,CT-4,CT-4,Connecticut 4,85,
ap:09:7015,CT-5,CT-5,Connecticut 5,86,
ap:10:8074,DE-1,DE-1,Delaware At-Large,87,
ap:12:11126,FL-1,FL-1,Florida 1,88,
ap:12:10009,FL-2,FL-2,Florida 2,89,
ap:12:10011,FL-3,FL-3,Florida 3,90,
ap:12:10013,FL-4,FL-4,Florida 4,91,
ap:12:10015,FL-5,FL-5,Florida 5,92,
ap:12:10017,FL-6,FL-6,Florida 6,93,
ap:12:10019,FL-7,FL-7,Florida 7,94,
ap:12:10021,FL-8,FL-8,Florida 8,95,
ap:12:10023,FL-9,FL-9,Florida 9,96,
ap:12:10025,FL-10,FL-10,Florida 10,97,
ap:12:10027,FL-11,FL-11,Florida 11,98,
ap:12:10029,FL-12,FL-12,Florida 12,99,
ap:12:10031,FL-13,FL-13,Florida 13,100,
ap:12:10033,FL-14,FL-14,Florida 14,101,
ap:12:10035,FL-15,FL-15,Florida 15,102,
ap:12:10037,FL-16,FL-16,Florida 16,103,
ap:12:10039,FL-17,FL-17,Florida 17,104,
ap:12:10041,FL-18,FL-18,Florida 18,105,
ap:12:11670,FL-19,FL-19,Florida 19,106,
